,Year,Winner,Musical,Music,Book,Lyrics,Link
142,1991,False,Miss Saigon,Schönberg,Alain Boublil & Claude-Michel Schönberg,Boublil & Richard Maltby Jr.,https://en.wikipedia.org/wiki/Miss_Saigon
143,1991,False,Once on This Island,Stephen Flaherty,Lynn Ahrens,Ahrens,https://en.wikipedia.org/wiki/Once_on_This_Island
144,1991,False,The Secret Garden,Lucy Simon,Marsha Norman,Norman,https://en.wikipedia.org/wiki/The_Secret_Garden_(musical)
145,1992,True,Crazy for You,George Gershwin,Ken Ludwig,Ira Gershwin,https://en.wikipedia.org/wiki/Crazy_for_You_(musical)
146,1992,False,Falsettos,Finn,William Finn & James Lapine,Finn,https://en.wikipedia.org/wiki/Falsettos
147,1992,False,Five Guys Named Moe,Various,Clarke Peters,Various,https://en.wikipedia.org/wiki/Five_Guys_Named_Moe
148,1992,False,Jelly's Last Jam,Jelly Roll Morton,George C. Wolfe,Susan Birkenhead,https://en.wikipedia.org/wiki/Jelly%27s_Last_Jam
149,1993,True,Kiss of the Spider Woman,John Kander,Terrence McNally,Fred Ebb,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(musical)
150,1993,False,Blood Brothers,Willy Russell,Willy Russell,Willy Russell,https://en.wikipedia.org/wiki/Blood_Brothers_(musical)
151,1993,False,The Goodbye Girl,Marvin Hamlisch,Neil Simon,David Zippel,https://en.wikipedia.org/wiki/The_Goodbye_Girl_(musical)
152,1993,False,The Who's Tommy,Townshend,Des McAnuff & Pete Townshend,Townshend,https://en.wikipedia.org/wiki/The_Who%27s_Tommy
153,1994,True,Passion,Stephen Sondheim,James Lapine,Stephen Sondheim,https://en.wikipedia.org/wiki/Passion_(musical)
154,1994,False,A Grand Night for Singing,Richard Rodgers,Walter Bobbie,Oscar Hammerstein II,https://en.wikipedia.org/wiki/A_Grand_Night_for_Singing
155,1994,False,Beauty and the Beast,Alan Menken,Linda Woolverton,Howard Ashman & Tim Rice,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(musical)
156,1994,False,Cyrano: The Musical,Ad van Dijk,Koen van Dijk,K. van Dijk,https://en.wikipedia.org/wiki/Cyrano:_The_Musical
157,1995,True,Sunset Boulevard,Andrew Lloyd Webber,Christopher Hampton & Don Black,Hampton & Black,https://en.wikipedia.org/wiki/Sunset_Boulevard_(musical)
158,1995,False,Smokey Joe's Cafe,Jerry Leiber & Mike Stoller,N/A,Jerry Leiber & Mike Stoller,https://en.wikipedia.org/wiki/Smokey_Joe%27s_Cafe
159,1996,True,Rent †,Jonathan Larson,Jonathan Larson,Jonathan Larson,https://en.wikipedia.org/wiki/Rent_(musical)
160,1996,False,"Bring in 'da Noise, Bring in 'da Funk","Ann Duquesnay, Zane Mark & Daryl Waters",Reg E. Gaines,"Duquesnay, Gaines & George C. Wolfe","https://en.wikipedia.org/wiki/Bring_in_%27da_Noise,_Bring_in_%27da_Funk"
161,1996,False,Chronicle of a Death Foretold,Bob Telson,Graciela Daniele & Jim Lewis,Daniele & Lewis,https://en.wikipedia.org/wiki/Chronicle_of_a_Death_Foretold_(musical)
162,1996,False,Swinging on a Star,Various,Michael Leeds,Johnny Burke,https://en.wikipedia.org/wiki/Swinging_on_a_Star_(musical)
163,1997,True,Titanic,Maury Yeston,Peter Stone,Maury Yeston,https://en.wikipedia.org/wiki/Titanic_(musical)
164,1997,False,Juan Darien,Goldenthal,Elliot Goldenthal & Julie Taymor,Goldenthal,https://en.wikipedia.org/wiki/Juan_Dari%C3%A9n:_A_Carnival_Mass
165,1997,False,Steel Pier,John Kander,David Thompson,Fred Ebb,https://en.wikipedia.org/wiki/Steel_Pier_(musical)
166,1997,False,The Life,Coleman,"Cy Coleman, David Newman & Ira Gasman",Gasman,https://en.wikipedia.org/wiki/The_Life_(musical)
167,1998,True,The Lion King,Elton John,Roger Allers & Irene Mecchi,Tim Rice,https://en.wikipedia.org/wiki/The_Lion_King_(musical)
168,1998,False,Side Show,Henry Krieger,Bill Russell,Russell,https://en.wikipedia.org/wiki/Side_Show
169,1998,False,The Scarlet Pimpernel,Frank Wildhorn,Nan Knighton,Knighton,https://en.wikipedia.org/wiki/The_Scarlet_Pimpernel_(musical)
170,1998,False,Ragtime,Stephen Flaherty,Terrence McNally,Lynn Ahrens,https://en.wikipedia.org/wiki/Ragtime_(musical)
171,1999,True,Fosse,Various,N/A,Various,https://en.wikipedia.org/wiki/Fosse_(musical)
172,1999,False,The Civil War,Wildhorn,Gregory Boyd & Frank Wildhorn,Jack Murphy,https://en.wikipedia.org/wiki/The_Civil_War_(musical)
173,1999,False,It Ain't Nothin' But the Blues,Various,"Charles Bevel, Lita Gaithers, Randal Myler, Ron Taylor & Dan Wheetman",Various,https://en.wikipedia.org/wiki/It_Ain%27t_Nothin%27_But_the_Blues
174,1999,False,Parade,Jason Robert Brown,Alfred Uhry,Jason Robert Brown,https://en.wikipedia.org/wiki/Parade_(musical)
175,2000,True,Contact,Various,John Weidman,Various,https://en.wikipedia.org/wiki/Contact_(musical)
176,2000,False,James Joyce's The Dead,Shaun Davey,Richard Nelson,Davey & Nelson,https://en.wikipedia.org/wiki/James_Joyce%27s_The_Dead
177,2000,False,Swing!,Various,Paul Kelley,Various,https://en.wikipedia.org/wiki/Swing!
