,Year,Winner,Musical,Music,Book,Lyrics,Link
26,1961,True,Bye Bye Birdie,Charles Strouse,Michael Stewart,Lee Adams,https://en.wikipedia.org/wiki/Bye_Bye_Birdie_(musical)
27,1961,False,Do Re Mi,Jule Styne,Garson Kanin,Betty Comden & Adolph Green,https://en.wikipedia.org/wiki/Do_Re_Mi_(musical)
28,1961,False,Irma La Douce,Marguerite Monnot,"Alexandre Breffort, David Heneker, Julian More & Monty Norman","Breffort, Heneker, More & Norman",https://en.wikipedia.org/wiki/Irma_La_Douce_(musical)
29,1962,True,How to Succeed in Business Without Really Trying †,Frank Loesser,"Abe Burrows, Willie Gilbert & Jack Weinstock",Frank Loesser,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical)
30,1962,False,Carnival!,Bob Merrill,Helen Deutsch & Michael Stewart,Bob Merrill,https://en.wikipedia.org/wiki/Carnival!
31,1962,False,Milk and Honey,Jerry Herman,Don Appell,Jerry Herman,https://en.wikipedia.org/wiki/Milk_and_Honey_(musical)
32,1962,False,No Strings,Richard Rodgers,Samuel A. Taylor,Richard Rodgers,https://en.wikipedia.org/wiki/No_Strings
33,1963,True,A Funny Thing Happened on the Way to the Forum,Stephen Sondheim,Larry Gelbart & Burt Shevelove,Stephen Sondheim,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum
34,1963,False,Little Me,Cy Coleman,Neil Simon,Carolyn Leigh,https://en.wikipedia.org/wiki/Little_Me_(musical)
35,1963,False,Oliver!,Lionel Bart,Lionel Bart,Lionel Bart,https://en.wikipedia.org/wiki/Oliver!
36,1963,False,Stop the World – I Want to Get Off,Leslie Bricusse & Anthony Newley,Leslie Bricusse & Anthony Newley,Leslie Bricusse & Anthony Newley,https://en.wikipedia.org/wiki/Stop_the_World_%E2%80%93_I_Want_to_Get_Off
37,1964,True,"Hello, Dolly!",Jerry Herman,Michael Stewart,Jerry Herman,"https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
38,1964,False,Funny Girl,Jule Styne,Isobel Lennart,Bob Merrill,https://en.wikipedia.org/wiki/Funny_Girl_(musical)
39,1964,False,High Spirits,Timothy Gray & Hugh Martin,Timothy Gray & Hugh Martin,Timothy Gray & Hugh Martin,https://en.wikipedia.org/wiki/High_Spirits_(musical)
40,1964,False,She Loves Me,Jerry Bock,Joe Masteroff,Sheldon Harnick,https://en.wikipedia.org/wiki/She_Loves_Me
41,1965,True,Fiddler on the Roof,Jerry Bock,Joseph Stein,Sheldon Harnick,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof
42,1965,False,Golden Boy,Charles Strouse,William Gibson & Clifford Odets,Lee Adams,https://en.wikipedia.org/wiki/Golden_Boy_(musical)
43,1965,False,Half a Sixpence,David Heneker,Beverley Cross,David Heneker,https://en.wikipedia.org/wiki/Half_a_Sixpence
44,1965,False,"Oh, What a Lovely War!",Various,Joan Littlewood & Theatre Workshop,Various,"https://en.wikipedia.org/wiki/Oh,_What_a_Lovely_War!"
45,1966,True,Man of La Mancha,Mitch Leigh,Dale Wasserman,Joe Darion,https://en.wikipedia.org/wiki/Man_of_La_Mancha
46,1966,False,Mame,Jerry Herman,Jerome Lawrence & Robert E. Lee,Jerry Herman,https://en.wikipedia.org/wiki/Mame_(musical)
47,1966,False,Skyscraper,Jimmy Van Heusen,Peter Stone,Sammy Cahn,https://en.wikipedia.org/wiki/Skyscraper_(musical)
48,1966,False,Sweet Charity,Cy Coleman,Neil Simon,Dorothy Fields,https://en.wikipedia.org/wiki/Sweet_Charity
49,1967,True,Cabaret,John Kander,Joe Masteroff,Fred Ebb,https://en.wikipedia.org/wiki/Cabaret_(musical)
50,1967,False,I Do! I Do!,Harvey Schmidt,Tom Jones,Jones,https://en.wikipedia.org/wiki/I_Do!_I_Do!
51,1967,False,The Apple Tree,Bock,Jerry Bock & Sheldon Harnick,Harnick,https://en.wikipedia.org/wiki/The_Apple_Tree
52,1967,False,Walking Happy,Jimmy Van Heusen,Ketti Frings & Roger O. Hirson,Sammy Cahn,https://en.wikipedia.org/wiki/Walking_Happy
53,1968,True,"Hallelujah, Baby!",Jule Styne,Arthur Laurents,Betty Comden & Adolph Green,"https://en.wikipedia.org/wiki/Hallelujah,_Baby!"
54,1968,False,The Happy Time,John Kander,N. Richard Nash,Fred Ebb,https://en.wikipedia.org/wiki/The_Happy_Time_(musical)
55,1968,False,"How Now, Dow Jones",Elmer Bernstein,Max Shulman,Carolyn Leigh,"https://en.wikipedia.org/wiki/How_Now,_Dow_Jones"
56,1968,False,Illya Darling,Manos Hatzidakis,Jules Dassin,Joe Darion,https://en.wikipedia.org/wiki/Illya_Darling
57,1969,True,1776,Sherman Edwards,Peter Stone,Sherman Edwards,https://en.wikipedia.org/wiki/1776_(musical)
58,1969,False,Hair,Galt MacDermot,James Rado & Gerome Ragni,Rado,https://en.wikipedia.org/wiki/Hair_(musical)
59,1969,False,"Promises, Promises",Burt Bacharach,Neil Simon,Hal David,"https://en.wikipedia.org/wiki/Promises,_Promises_(musical)"
60,1969,False,Zorba,John Kander,Joseph Stein,Fred Ebb,https://en.wikipedia.org/wiki/Zorba_(musical)
61,1970,True,Applause,Charles Strouse,Betty Comden & Adolph Green,Lee Adams,https://en.wikipedia.org/wiki/Applause_(musical)
62,1970,False,Coco,André Previn,Alan Jay Lerner,Lerner,https://en.wikipedia.org/wiki/Coco_(musical)
63,1970,False,Purlie,Gary Geld,"Ossie Davis, Philip Rose & Peter Udell",Udell,https://en.wikipedia.org/wiki/Purlie
64,1971,True,Company,Stephen Sondheim,George Furth,Stephen Sondheim,https://en.wikipedia.org/wiki/Company_(musical)
65,1971,False,The Me Nobody Knows,Gary William Friedman,"Stephen M. Joseph, Robert H. Livingston & Herb Schapiro",Will Holt,https://en.wikipedia.org/wiki/The_Me_Nobody_Knows
66,1971,False,The Rothschilds,Jerry Bock,Sherman Yellen,Sheldon Harnick,https://en.wikipedia.org/wiki/The_Rothschilds_(musical)
67,1972,True,Two Gentlemen of Verona,Galt MacDermot,John Guare & Mel Shapiro,Guare,https://en.wikipedia.org/wiki/Two_Gentlemen_of_Verona_(musical)
68,1972,False,Ain't Supposed to Die a Natural Death,Block,Block,Block,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death
69,1972,False,Follies,Stephen Sondheim,James Goldman,Stephen Sondheim,https://en.wikipedia.org/wiki/Follies
70,1972,False,Grease,Warren Casey & Jim Jacobs,Warren Casey & Jim Jacobs,Warren Casey & Jim Jacobs,https://en.wikipedia.org/wiki/Grease_(musical)
71,1973,True,A Little Night Music,Stephen Sondheim,Hugh Wheeler,Stephen Sondheim,https://en.wikipedia.org/wiki/A_Little_Night_Music
72,1973,False,"Don't Bother Me, I Can't Cope",Micki Grant,Micki Grant,Micki Grant,"https://en.wikipedia.org/wiki/Don%27t_Bother_Me,_I_Can%27t_Cope"
73,1973,False,Pippin,Stephen Schwartz,Bob Fosse & Roger O. Hirson,Stephen Schwartz,https://en.wikipedia.org/wiki/Pippin_(musical)
74,1973,False,Sugar,Jule Styne,Peter Stone,Bob Merrill,https://en.wikipedia.org/wiki/Sugar_(musical)
75,1974,True,Raisin,Judd Woldin,Robert Nemiroff & Charlotte Zaltzberg,Robert Brittan,https://en.wikipedia.org/wiki/Raisin_(musical)
76,1974,False,Over Here!,Sherman Brothers,Will Holt,Sherman Brothers,https://en.wikipedia.org/wiki/Over_Here!
77,1974,False,Seesaw,Cy Coleman,Michael Bennett,Dorothy Fields,https://en.wikipedia.org/wiki/Seesaw_(musical)
78,1975,True,The Wiz,Charlie Smalls,William F. Brown,Charlie Smalls,https://en.wikipedia.org/wiki/The_Wiz
79,1975,False,Mack & Mabel,Jerry Herman,Michael Stewart,Jerry Herman,https://en.wikipedia.org/wiki/Mack_%26_Mabel
80,1975,False,The Lieutenant,"Gene Curty, Nitra Scharfman & Chuck Strand","Gene Curty, Nitra Scharfman & Chuck Strand","Gene Curty, Nitra Scharfman & Chuck Strand",https://en.wikipedia.org/wiki/The_Lieutenant_(musical)
81,1975,False,Shenandoah,Gary Geld,"James Lee Barrett, Philip Rose & Peter Udell",Udell,https://en.wikipedia.org/wiki/Shenandoah_(musical)
82,1976,True,A Chorus Line †,Marvin Hamlisch,James Kirkwood Jr. & Nicholas Dante,Ed Kleban,https://en.wikipedia.org/wiki/A_Chorus_Line
83,1976,False,Bubbling Brown Sugar,Various,Loften Mitchell,Various,https://en.wikipedia.org/wiki/Bubbling_Brown_Sugar
84,1976,False,Chicago,John Kander,Fred Ebb & Bob Fosse,Ebb,https://en.wikipedia.org/wiki/Chicago_(musical)
85,1976,False,Pacific Overtures,Stephen Sondheim,John Weidman,Stephen Sondheim,https://en.wikipedia.org/wiki/Pacific_Overtures
86,1977,True,Annie,Charles Strouse,Thomas Meehan,Martin Charnin,https://en.wikipedia.org/wiki/Annie_(musical)
87,1977,False,Happy End,Kurt Weill,Elisabeth Hauptmann,Bertolt Brecht,https://en.wikipedia.org/wiki/Happy_End_(musical)
88,1977,False,I Love My Wife,Cy Coleman,Michael Stewart,Stewart,https://en.wikipedia.org/wiki/I_Love_My_Wife
89,1977,False,Side by Side by Sondheim,Stephen Sondheim,N/A,Stephen Sondheim,https://en.wikipedia.org/wiki/Side_by_Side_by_Sondheim
90,1978,True,Ain't Misbehavin',Fats Waller,Murray Horwitz & Richard Maltby Jr.,Various,https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(musical)
91,1978,False,Dancin',Various,N/A,Various,https://en.wikipedia.org/wiki/Dancin%27
92,1978,False,On the Twentieth Century,Cy Coleman,Betty Comden & Adolph Green,Comden & Green,https://en.wikipedia.org/wiki/On_the_Twentieth_Century
93,1978,False,Runaways,Elizabeth Swados,Elizabeth Swados,Elizabeth Swados,https://en.wikipedia.org/wiki/Runaways_(musical)
94,1979,True,Sweeney Todd,Stephen Sondheim,Hugh Wheeler,Stephen Sondheim,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street
95,1979,False,Ballroom,Billy Goldenberg,Jerome Kass,Alan & Marilyn Bergman,https://en.wikipedia.org/wiki/Ballroom_(musical)
96,1979,False,The Best Little Whorehouse in Texas,Carol Hall,Larry L. King & Peter Masterson,Carol Hall,https://en.wikipedia.org/wiki/The_Best_Little_Whorehouse_in_Texas
97,1979,False,They're Playing Our Song,Marvin Hamlisch,Neil Simon,Carole Bayer Sager,https://en.wikipedia.org/wiki/They%27re_Playing_Our_Song
98,1980,True,Evita,Andrew Lloyd Webber,Tim Rice,Rice,https://en.wikipedia.org/wiki/Evita_(musical)
