,Year,Musical,Book,Music,Lyrics
201,2006 | 60th Tony Awards,The Drowsy Chaperone,Bob Martin & Don McKellar,Lisa Lambert & Greg Morrison,Lisa Lambert & Greg Morrison
202,2006 | 60th Tony Awards,The Wedding Singer,Chad Beguelin & Tim Herlihy,Matthew Sklar,Beguelin
203,2007 | 61st Tony Awards,Spring Awakening,Steven Sater,Duncan Sheik,Sater
204,2007 | 61st Tony Awards,Curtains,Rupert Holmes,John Kander,Fred Ebb
205,2007 | 61st Tony Awards,Grey Gardens,Doug Wright,Scott Frankel,Michael Korie
206,2007 | 61st Tony Awards,Mary Poppins,Julian Fellowes,"Anthony Drewe, Sherman Brothers & George Stiles","Anthony Drewe, Sherman Brothers & George Stiles"
207,2008 | 62nd Tony Awards,In the Heights,Quiara Alegría Hudes,Lin-Manuel Miranda,Lin-Manuel Miranda
208,2008 | 62nd Tony Awards,Cry-Baby,Thomas Meehan & Mark O'Donnell,Adam Schlesinger,David Javerbaum
209,2008 | 62nd Tony Awards,Passing Strange,Stew,Heidi Rodewald & Stew,Stew
210,2008 | 62nd Tony Awards,Xanadu,Douglas Carter Beane,John Farrar & Jeff Lynne,John Farrar & Jeff Lynne
211,2009 | 63rd Tony Awards,Billy Elliot the Musical,Lee Hall,Elton John,Hall
212,2009 | 63rd Tony Awards,Next to Normal,Brian Yorkey,Tom Kitt,Yorkey
213,2009 | 63rd Tony Awards,Rock of Ages,Chris D'Arienzo,Various,Various
214,2009 | 63rd Tony Awards,Shrek The Musical,David Lindsay-Abaire,Jeanine Tesori,Lindsay-Abaire
215,2010 | 64th Tony Awards,Memphis,Joe DiPietro,David Bryan,Bryan & DiPietro
216,2010 | 64th Tony Awards,American Idiot,Billie Joe Armstrong & Michael Mayer,Green Day,Armstrong
217,2010 | 64th Tony Awards,Fela!,Bill T. Jones & Jim Lewis,Fela,Fela
218,2010 | 64th Tony Awards,Million Dollar Quartet,Colin Escott & Floyd Mutrux,Various,Various
219,2011 | 65th Tony Awards,The Book of Mormon,"Robert Lopez, Trey Parker & Matt Stone","Robert Lopez, Trey Parker & Matt Stone","Robert Lopez, Trey Parker & Matt Stone"
220,2011 | 65th Tony Awards,Catch Me If You Can,Terrence McNally,Marc Shaiman,Shaiman & Scott Wittman
221,2011 | 65th Tony Awards,The Scottsboro Boys,David Thompson,John Kander,Fred Ebb
222,2011 | 65th Tony Awards,Sister Act,"Cheri, Bill Steinkellner & Douglas Carter Beane",Alan Menken,Glenn Slater
223,2012 | 66th Tony Awards,Once,Enda Walsh,Glen Hansard & Markéta Irglová,Glen Hansard & Markéta Irglová
224,2012 | 66th Tony Awards,Leap of Faith,Janus Cercone & Glenn Slater,Alan Menken,Slater
225,2012 | 66th Tony Awards,Newsies,Harvey Fierstein,Menken,Jack Feldman
226,2012 | 66th Tony Awards,Nice Work If You Can Get It,Joe DiPietro,George Gershwin,Ira Gershwin
